Original Filename,Modified Filename,Category,Source URL,License,License URL,Author,Author URL,Modifications,Additional Notes,Original Width,Original Height,Original # Colors,Modified Width,Modified Height,Modified # Colors
"Adirondack_chairs,_Lunenburg,_Nova_Scotia,_Canada",adirondack_chairs,Objects,"https://commons.wikimedia.org/wiki/File:Adirondack_chairs,_Lunenburg,_Nova_Scotia,_Canada.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Madereugeneandrew,https://commons.wikimedia.org/w/index.php?title=User:Madereugeneandrew&action=edit&redlink=1,"Format Conversion, Renaming, Resizing",None,4912,3264,1034944,768,512,229944
Star-sizes,astro_bodies,Miscellaneous,https://commons.wikimedia.org/wiki/File:Star-sizes.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Dave Jarvis,https://dave.autonoma.ca/,"Format Conversion, Renaming, Resizing",None,6400,4200,389544,768,512,85015
Buzz_Aldrin,astronaut,People,https://commons.wikimedia.org/wiki/File:Buzz_Aldrin.jpg,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,NASA,https://images-assets.nasa.gov/image/S69-31743/S69-31743~orig.jpg,"Format Conversion, Renaming, Resizing",None,6498,8123,332464,512,768,66951
17_Years_of_Sekar_Jepun_2014-11-01_64_edit,balinese_dancer,People,https://commons.wikimedia.org/wiki/File:17_Years_of_Sekar_Jepun_2014-11-01_64_edit.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Crisco 1492,https://commons.wikimedia.org/wiki/User:Crisco_1492,"Format Conversion, Renaming, Resizing",None,2748,1964,421716,768,512,109970
kodim03,ball_caps,Objects,http://r0k.us/graphics/kodak/kodim03.html,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,Don Cochran,Unknown,"Format Conversion, Renaming",None,768,512,34871,768,512,34871
play-air-balloon-celebration-colorful-toy-1159352-pxhere.com,birthday_baloons,Objects,https://pxhere.com/en/photo/1159352,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,3784,2523,345068,768,512,104014
Pinus_heldreichii_Den_Ouden,bosnian_pine_needle,Plants,https://commons.wikimedia.org/wiki/File:Pinus_heldreichii_Den_Ouden.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Anatoly Mikhaltsov,https://commons.wikimedia.org/w/index.php?title=User:Anatoly_Mikhaltsov&action=edit&redlink=1,"Format Conversion, Renaming, Resizing",None,3543,2363,950001,768,512,186813
VW_I.D._Buggy_Genf_2019_1Y7A5934,buggy,Vehicles,https://commons.wikimedia.org/wiki/File:VW_I.D._Buggy_Genf_2019_1Y7A5934.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Alexander Migl,https://commons.wikimedia.org/wiki/User:Alexander-93,"Format Conversion, Renaming, Resizing",None,5374,3591,413927,768,512,108258
Calaveras_Tonalá_(2),calaveras,Objects,https://commons.wikimedia.org/wiki/File:Calaveras_Tonal%C3%A1_(2).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Gzzz,https://commons.wikimedia.org/wiki/User:Gzzz,"Format Conversion, Renaming, Resizing",None,5568,3712,1778151,768,512,232188
Carrots_of_many_colors,carrots,Food,https://commons.wikimedia.org/wiki/File:Carrots_of_many_colors.jpg,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,Stephen Ausmus,https://www.ars.usda.gov/oc/images/photos/nov04/k11611-1/,"Format Conversion, Renaming, Resizing",None,1675,2700,455107,512,768,188316
"Haltern_am_See,_Lavesum,_Künstlerhof,_Pastellkreide_--_2021_--_5719",chalk_pastels,Objects,"https://commons.wikimedia.org/wiki/File:Haltern_am_See,_Lavesum,_K%C3%BCnstlerhof,_Pastellkreide_--_2021_--_5719.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Dietmar Rabich,https://www.wikidata.org/wiki/Q34788025,"Format Conversion, Renaming, Resizing",None,6103,4069,522454,768,512,125137
Gemüse_mit_Hähnchenschlegel_-_Rohzustand,chicken_dish,Food,https://commons.wikimedia.org/wiki/File:Gem%C3%BCse_mit_H%C3%A4hnchenschlegel_-_Rohzustand.JPG,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,4028mdk09,https://commons.wikimedia.org/wiki/User:4028mdk09,"Format Conversion, Renaming, Resizing",None,3072,2304,457917,768,512,207414
"Capsicum_baccatum_in_Saúde_flea_market,_São_Paulo,_Brazil",chili_peppers,Food,"https://commons.wikimedia.org/wiki/File:Capsicum_baccatum_in_Sa%C3%BAde_flea_market,_S%C3%A3o_Paulo,_Brazil.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Wilfredor,https://commons.wikimedia.org/wiki/User:Wilfredor,"Format Conversion, Renaming, Resizing",None,6212,4928,1266714,768,512,291604
Anemone_purple_anemonefish,clownfish,Animals,https://commons.wikimedia.org/wiki/File:Anemone_purple_anemonefish.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Nick Hobgood,https://commons.wikimedia.org/wiki/User:Nhobgood,"Format Conversion, Renaming, Resizing",None,1803,2254,455573,512,768,225080
1404px-Xterm_256color_chart.svg,color_chart,Miscellaneous,https://commons.wikimedia.org/wiki/File:Xterm_256color_chart.svg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Jasonm23,https://en.wikipedia.org/wiki/User:Jasonm23,"Format Conversion, Renaming, Resizing",None,1404,2047,24466,512,768,36896
"X-rite_color_checker,_SahiFa_Braunschweig,_AP3Q0026_edit",color_checker,Miscellaneous,"https://commons.wikimedia.org/wiki/File:X-rite_color_checker,_SahiFa_Braunschweig,_AP3Q0026_edit.jpg",CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Christoph Braun,https://commons.wikimedia.org/wiki/User:Christoph_Braun,"Format Conversion, Renaming, Resizing",None,3616,2555,140935,768,512,30593
Colouring_pencils,coloring_pencils,Objects,https://commons.wikimedia.org/wiki/File:Colouring_pencils.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Michael Maggs,https://commons.wikimedia.org/wiki/User:MichaelMaggs,"Format Conversion, Renaming, Resizing",None,1884,1256,217117,768,512,115201
"Crew_of_STS-107,_official_photo",columbia_crew,People,"https://commons.wikimedia.org/wiki/File:Crew_of_STS-107,_official_photo.jpg",Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,NASA,http://www.spaceflight.nasa.gov/gallery/images/shuttle/sts-107/html/sts107-s-002.html,"Format Conversion, Renaming, Resizing",None,4096,3277,415180,768,512,148399
Common_Jezebel_Delias_eucharis_edit_by_kadavoor,common_jezebel,Animals,https://commons.wikimedia.org/wiki/File:Common_Jezebel_Delias_eucharis_edit_by_kadavoor.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,"Jeevan Jose, Kerala, India",https://commons.wikimedia.org/wiki/User:Jkadavoor,"Format Conversion, Renaming, Resizing",None,2048,1472,249787,768,512,137446
Twin_lantana_camara_edit,common_lantanas,Plants,https://commons.wikimedia.org/wiki/File:Twin_lantana_camara_edit.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Joaquim Alves Gaspar,https://commons.wikimedia.org/wiki/User:Alvesgaspar,"Format Conversion, Renaming, Resizing",None,1893,1368,367120,768,512,172547
Cosmic_‘Winter’_Wonderland,cosmic_vista,Places,https://commons.wikimedia.org/wiki/File:Cosmic_%E2%80%98Winter%E2%80%99_Wonderland.jpg,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,NASA,https://www.nasa.gov/mission_pages/chandra/cosmic-winter-wonderland.html,"Format Conversion, Renaming, Resizing",None,3600,2850,495291,768,512,226469
"Coloured,_textured_craft_card_edit",craft_cards,Objects,"https://commons.wikimedia.org/wiki/File:Coloured,_textured_craft_card_edit.jpg",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Michael Maggs,https://commons.wikimedia.org/wiki/User:MichaelMaggs,"Format Conversion, Renaming, Resizing",None,3368,2256,186153,768,512,48614
texture-purple-line-green-red-color-1014473-pxhere.com,crepe_paper,Objects,https://pxhere.com/en/photo/1014473,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,4690,3127,135394,768,512,28125
"Viking_Sky_(ship,_2017)_-_Sète_-_December_2018",cruise_ship,Vehicles,"https://commons.wikimedia.org/wiki/File:Viking_Sky_(ship,_2017)_-_S%C3%A8te_-_December_2018.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Christian Ferrer,https://commons.wikimedia.org/wiki/User:Christian_Ferrer,"Format Conversion, Renaming, Resizing",None,7360,4605,446406,768,512,159447
12-01-20-yog-674,curler,People,https://commons.wikimedia.org/wiki/File:12-01-20-yog-674.jpg,CC BY-SA 3.0 AT,https://creativecommons.org/licenses/by-sa/3.0/at/deed.en,Ralf Roletschek,http://www.roletschek.at/,"Format Conversion, Renaming, Resizing",None,4288,2848,411438,768,512,155122
nature-plant-flower-petal-bloom-daisy-1148800-pxhere.com,daisy_bouquet,Plants,https://pxhere.com/en/photo/1148800,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,4000,3000,931873,768,512,207866
Asteracea_poster_3,daisy_poster,Plants,https://commons.wikimedia.org/wiki/File:Asteracea_poster_3.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Joaquim Alves Gaspar and Tony Wills,https://commons.wikimedia.org/wiki/User:Alvesgaspar,"Format Conversion, Renaming, Resizing",None,3800,5000,520792,512,768,94171
grass-food-spring-color-basket-egg-1275965-pxhere.com,easter_egg_basket,Objects,https://pxhere.com/en/photo/1275965,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,4896,3264,704139,768,512,252571
orange-food-spring-green-red-color-1132116-pxhere.com,easter_eggs,Objects,https://pxhere.com/en/photo/1132116,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,4000,3000,467149,768,512,168071
Platycercus_eximius_diemenensis_male,eastern_rosella,Animals,https://commons.wikimedia.org/wiki/File:Platycercus_eximius_diemenensis_male.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,JJ Harrison,https://www.jjharrison.com.au/,"Format Conversion, Renaming, Resizing",None,2990,1994,620738,768,512,194886
Filzuntersetzer_--_2022_--_9752,felt_ball_trivet,Objects,https://commons.wikimedia.org/wiki/File:Filzuntersetzer_--_2022_--_9752.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Dietmar Rabich,https://www.wikidata.org/wiki/Q34788025,"Format Conversion, Renaming, Resizing",None,6720,4480,794849,768,512,210787
Rainbow_nets,fishing_nets,Objects,https://commons.wikimedia.org/wiki/File:Rainbow_nets.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,RebeccaCachiaMT,https://commons.wikimedia.org/w/index.php?title=User:RebeccaCachiaMT&action=edit&redlink=1,"Format Conversion, Renaming, Resizing",None,4752,3168,932374,768,512,285404
Jukung_Pasar_Terapung,floating_market,Places,https://commons.wikimedia.org/wiki/File:Jukung_Pasar_Terapung.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Muhammad Haris,https://commons.wikimedia.org/wiki/User:Fgharis,"Format Conversion, Renaming, Resizing",None,3000,2000,838361,768,512,241166
Fresh_Fruit_Dessert,fruit_dessert,Food,https://commons.wikimedia.org/wiki/File:Fresh_Fruit_Dessert.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/deed.en,"Audrey from Central Pennsylvania, USA",https://www.flickr.com/people/98799884@N00,"Format Conversion, Renaming, Resizing",None,1024,768,239495,768,512,235784
La_Boqueria,fruit_stand,Food,https://commons.wikimedia.org/wiki/File:La_Boqueria.JPG,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,Dungodung,https://commons.wikimedia.org/wiki/User:Dungodung,"Format Conversion, Renaming, Resizing",None,1280,960,480507,768,512,296837
plant-fruit-sweet-meal-food-produce-1250568-pxhere.com,fruits,Food,https://pxhere.com/en/photo/1250568,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,3072,2048,729787,768,512,299544
fruit-natural-foods-local-food-food-whole-food-superfood-1596594-pxhere.com,fruits_veggies,Food,https://pxhere.com/en/photo/1596594,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,3197,2170,766302,768,512,172606
"Münster,_Montgolfiade_(an_den_Aaseewiesen)_--_2019_--_9703",german_hot_air_balloon,Vehicles,"https://commons.wikimedia.org/wiki/File:M%C3%BCnster,_Montgolfiade_(an_den_Aaseewiesen)_--_2019_--_9703.jpg",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Dietmar Rabich,https://www.wikidata.org/wiki/Q34788025,"Format Conversion, Renaming, Resizing",None,4326,5408,375485,512,768,62041
kodim15,girl,People,http://r0k.us/graphics/kodak/kodim15.html,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,Steve Kelly,Unknown,"Format Conversion, Renaming",None,768,512,44576,768,512,44576
2006-10-18Cucurbita_pepo02,gourds,Food,https://commons.wikimedia.org/wiki/File:2006-10-18Cucurbita_pepo02.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Wildfeuer,https://commons.wikimedia.org/wiki/User:Wildfeuer,"Format Conversion, Renaming, Resizing",None,1900,1353,565088,768,512,304706
dish-meal-food-produce-meat-barbecue-944653-pxhere.com,grilled_food,Food,https://pxhere.com/en/photo/944653,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,5472,3648,1224113,768,512,243185
sweet-petal-food-colorful-dessert-caramel-1202590-pxhere.com,hard_candy,Food,https://pxhere.com/en/photo/1202590,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,5760,3840,1028276,768,512,231089
FESTIVAL_BALLOONS_2012_089,italian_hot_air_balloon,Vehicles,https://commons.wikimedia.org/wiki/File:FESTIVAL_BALLOONS_2012_089.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Lisa1963,https://commons.wikimedia.org/w/index.php?title=User:Lisa1963&action=edit&redlink=1,"Format Conversion, Renaming, Resizing",None,1936,1296,296778,768,512,168137
Jackson's_Chameleon_2_edit1,jacksons_chameleon,Animals,https://commons.wikimedia.org/wiki/File:Jackson%27s_Chameleon_2_edit1.jpg,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,Movingsaletoday,https://en.wikipedia.org/wiki/User:Movingsaletoday,"Format Conversion, Renaming, Resizing",None,1840,1380,505609,768,512,276980
Falkland_Islands_Penguins_49,king_penguin,Animals,https://commons.wikimedia.org/wiki/File:Falkland_Islands_Penguins_49.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/deed.en,Ben Tubby,https://www.flickr.com/people/tubby/,"Format Conversion, Renaming, Resizing",None,2048,1361,201186,768,512,129343
Sarcoramphus_papa_(Königsgeier_-_King_Vulture)_-_Weltvogelpark_Walsrode_2013-01,king_vulture,Animals,https://commons.wikimedia.org/wiki/File:Sarcoramphus_papa_(K%C3%B6nigsgeier_-_King_Vulture)_-_Weltvogelpark_Walsrode_2013-01.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en,Olaf Oliviero Riemer,https://commons.wikimedia.org/wiki/User:Fiorellino,"Format Conversion, Renaming, Resizing",None,3000,2000,648011,768,512,274000
nature-bird-wing-wildlife-beak-blue-1264621-pxhere.com,kingfisher,Animals,https://pxhere.com/en/photo/1264621,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,4608,3072,592580,768,512,134827
2008_Yongsan_Fall_Festival-01,korean_dancer,People,https://commons.wikimedia.org/wiki/File:2008_Yongsan_Fall_Festival-01.jpg,Public Domain,https://creativecommons.org/share-your-work/public-domain/pdm/,"David McNally, USAG-Yongsan",http://www.army.mil/-images/2008/10/15/23888/,"Format Conversion, Renaming, Resizing",None,2592,3872,448322,512,768,155431
light-bokeh-blur-abstract-glowing-texture-1153069-pxhere.com,lights,Miscellaneous,https://pxhere.com/en/photo/1153069,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,Unknown,Unknown,"Format Conversion, Renaming, Resizing",None,5000,3333,2188787,768,512,301112
